,Lower Bound,Upper Bound,Number of Dimensions,Population size,Parent size,Tournament size,Iterations,Mutation Rate,Mean Minima,Standard Deviation Minima,Minimum
0,-0.5,0.5,10,30,5,5,100,0.4,101.41,0.92,100.62
1,-0.5,0.5,10,30,5,5,100,0.8,101.53,1.27,98.51
2,-0.5,0.5,10,30,10,5,100,0.4,100.11,1.39,98.04
3,-0.5,0.5,10,30,10,5,100,0.8,100.05,0.76,99.08
4,-0.5,0.5,10,30,5,10,100,0.4,101.5,1.41,99.52
5,-0.5,0.5,10,30,5,10,100,0.8,100.83,0.93,99.84
6,-0.5,0.5,10,30,10,10,100,0.4,100.36,1.6,97.64
7,-0.5,0.5,10,30,10,10,100,0.8,99.5,1.07,97.49
8,-0.5,0.5,10,100,10,5,100,0.4,100.13,1.38,96.71
9,-0.5,0.5,10,100,10,5,100,0.8,100.85,0.59,99.87
10,-0.5,0.5,10,100,10,10,100,0.4,100.12,0.96,98.62
11,-0.5,0.5,10,100,10,10,100,0.8,99.89,1.39,97.7
12,-0.5,0.5,10,100,40,5,100,0.4,98.42,1.37,96.16
13,-0.5,0.5,10,100,40,5,100,0.8,98.51,1.19,96.46
14,-0.5,0.5,10,100,40,10,100,0.4,98.33,1.34,96.46
15,-0.5,0.5,10,100,40,10,100,0.8,98.08,1.22,97.02
