,Lower Bound,Upper Bound,Number of Dimensions,Swarm size,Number of Informants,Iterations,Alpha ,Beta ,Gamma,Delta,Epsilon,Mean Minima,Standard Deviation Minima,Minimum
0,-0.5,0.5,10,30,5,100,0.5,1.3,1.3,1.4,0.5,96.59,1.41,94.69
1,-0.5,0.5,10,30,5,100,0.8,1.3,1.3,1.4,0.5,97.44,0.84,96.13
2,-0.5,0.5,10,30,5,100,0.5,1.3,1.3,1.4,0.8,96.6,1.8,94.54
3,-0.5,0.5,10,30,5,100,0.8,1.3,1.3,1.4,0.8,100.67,1.21,98.87
4,-0.5,0.5,10,30,5,100,0.5,1.0,1.4,1.6,0.5,97.75,1.54,94.41
5,-0.5,0.5,10,30,5,100,0.8,1.0,1.4,1.6,0.5,96.36,1.94,94.13
6,-0.5,0.5,10,30,5,100,0.5,1.0,1.4,1.6,0.8,97.71,1.29,95.83
7,-0.5,0.5,10,30,5,100,0.8,1.0,1.4,1.6,0.8,100.68,0.91,99.46
8,-0.5,0.5,10,30,5,100,0.5,1.0,1.0,2.0,0.5,97.68,1.28,95.94
9,-0.5,0.5,10,30,5,100,0.8,1.0,1.0,2.0,0.5,96.79,2.06,93.28
10,-0.5,0.5,10,30,5,100,0.5,1.0,1.0,2.0,0.8,97.9,1.76,95.18
11,-0.5,0.5,10,30,5,100,0.8,1.0,1.0,2.0,0.8,100.23,1.03,98.33
12,-0.5,0.5,10,30,10,100,0.5,1.3,1.3,1.4,0.5,96.62,1.52,94.36
13,-0.5,0.5,10,30,10,100,0.8,1.3,1.3,1.4,0.5,96.58,1.69,93.92
14,-0.5,0.5,10,30,10,100,0.5,1.3,1.3,1.4,0.8,98.05,2.06,95.19
15,-0.5,0.5,10,30,10,100,0.8,1.3,1.3,1.4,0.8,100.99,1.23,98.19
16,-0.5,0.5,10,30,10,100,0.5,1.0,1.4,1.6,0.5,97.62,1.02,96.27
17,-0.5,0.5,10,30,10,100,0.8,1.0,1.4,1.6,0.5,98.07,2.1,94.28
18,-0.5,0.5,10,30,10,100,0.5,1.0,1.4,1.6,0.8,97.63,1.47,95.47
19,-0.5,0.5,10,30,10,100,0.8,1.0,1.4,1.6,0.8,100.37,1.08,98.19
20,-0.5,0.5,10,30,10,100,0.5,1.0,1.0,2.0,0.5,97.35,1.9,93.58
21,-0.5,0.5,10,30,10,100,0.8,1.0,1.0,2.0,0.5,97.29,2.05,94.34
22,-0.5,0.5,10,30,10,100,0.5,1.0,1.0,2.0,0.8,96.48,1.8,93.18
23,-0.5,0.5,10,30,10,100,0.8,1.0,1.0,2.0,0.8,100.75,0.75,99.61
24,-0.5,0.5,10,100,10,100,0.5,1.3,1.3,1.4,0.5,95.2,2.27,91.82
25,-0.5,0.5,10,100,10,100,0.8,1.3,1.3,1.4,0.5,95.3,1.15,94.11
26,-0.5,0.5,10,100,10,100,0.5,1.3,1.3,1.4,0.8,94.49,2.22,91.25
27,-0.5,0.5,10,100,10,100,0.8,1.3,1.3,1.4,0.8,99.84,1.02,97.95
28,-0.5,0.5,10,100,10,100,0.5,1.0,1.4,1.6,0.5,95.12,1.3,92.74
29,-0.5,0.5,10,100,10,100,0.8,1.0,1.4,1.6,0.5,95.28,2.22,92.73
30,-0.5,0.5,10,100,10,100,0.5,1.0,1.4,1.6,0.8,94.93,2.11,91.51
31,-0.5,0.5,10,100,10,100,0.8,1.0,1.4,1.6,0.8,100.02,1.04,97.25
32,-0.5,0.5,10,100,10,100,0.5,1.0,1.0,2.0,0.5,95.03,1.7,93.18
33,-0.5,0.5,10,100,10,100,0.8,1.0,1.0,2.0,0.5,95.38,1.44,93.46
34,-0.5,0.5,10,100,10,100,0.5,1.0,1.0,2.0,0.8,94.81,2.41,92.37
35,-0.5,0.5,10,100,10,100,0.8,1.0,1.0,2.0,0.8,99.44,1.17,96.86
36,-0.5,0.5,10,100,40,100,0.5,1.3,1.3,1.4,0.5,96.34,1.63,94.74
37,-0.5,0.5,10,100,40,100,0.8,1.3,1.3,1.4,0.5,95.97,1.99,91.45
38,-0.5,0.5,10,100,40,100,0.5,1.3,1.3,1.4,0.8,95.6,1.38,92.98
39,-0.5,0.5,10,100,40,100,0.8,1.3,1.3,1.4,0.8,99.11,1.51,96.58
40,-0.5,0.5,10,100,40,100,0.5,1.0,1.4,1.6,0.5,95.76,1.87,92.59
41,-0.5,0.5,10,100,40,100,0.8,1.0,1.4,1.6,0.5,95.92,2.59,93.18
42,-0.5,0.5,10,100,40,100,0.5,1.0,1.4,1.6,0.8,95.28,1.59,93.1
43,-0.5,0.5,10,100,40,100,0.8,1.0,1.4,1.6,0.8,99.43,1.04,97.42
44,-0.5,0.5,10,100,40,100,0.5,1.0,1.0,2.0,0.5,95.59,1.53,93.7
