,Lower Bound,Upper Bound,Number of Dimensions,Population size,Parent size,Tournament size,Iterations,Mutation Rate,Mean Minima,Standard Deviation Minima,Minimum
0,-5,5,10,30,5,5,100,0.4,-292.24,12.57,-307.5
1,-5,5,10,30,5,5,100,0.8,-292.41,8.14,-304.91
2,-5,5,10,30,10,5,100,0.4,-317.54,3.6,-322.57
3,-5,5,10,30,10,5,100,0.8,-311.16,5.49,-320.75
4,-5,5,10,30,5,10,100,0.4,-300.96,8.66,-315.89
5,-5,5,10,30,5,10,100,0.8,-304.93,5.2,-313.08
6,-5,5,10,30,10,10,100,0.4,-315.04,4.64,-322.11
7,-5,5,10,30,10,10,100,0.8,-317.95,4.57,-322.97
8,-5,5,10,100,10,5,100,0.4,-308.11,6.35,-317.8
9,-5,5,10,100,10,5,100,0.8,-308.98,5.28,-317.07
10,-5,5,10,100,10,10,100,0.4,-314.53,5.76,-321.72
11,-5,5,10,100,10,10,100,0.8,-313.95,3.66,-317.28
12,-5,5,10,100,40,5,100,0.4,-325.18,1.21,-327.25
13,-5,5,10,100,40,5,100,0.8,-321.48,1.73,-324.49
14,-5,5,10,100,40,10,100,0.4,-325.87,1.4,-328.25
15,-5,5,10,100,40,10,100,0.8,-326.49,1.19,-328.41
