Lower Bound,Upper Bound,Number of Dimensions,Population size,Parent size,Tournament size,Iterations,Mutation Rate
-0.5,0.5,10,30,5,5,100,0.4
-0.5,0.5,10,30,5,5,100,0.8
-0.5,0.5,10,30,10,5,100,0.4
-0.5,0.5,10,30,10,5,100,0.8
-0.5,0.5,10,30,5,10,100,0.4
-0.5,0.5,10,30,5,10,100,0.8
-0.5,0.5,10,30,10,10,100,0.4
-0.5,0.5,10,30,10,10,100,0.8
-0.5,0.5,10,100,10,5,100,0.4
-0.5,0.5,10,100,10,5,100,0.8
-0.5,0.5,10,100,10,10,100,0.4
-0.5,0.5,10,100,10,10,100,0.8
-0.5,0.5,10,100,40,5,100,0.4
-0.5,0.5,10,100,40,5,100,0.8
-0.5,0.5,10,100,40,10,100,0.4
-0.5,0.5,10,100,40,10,100,0.8
